field,variant,measure,lambda_top_bits,free_top_bits,free_sum_bits,conditional_sum_bits,rms_final_1024,qr_free_sum_bits,qr_free_top_bits
11,fixed4_095,8192,0.5726425628163612,0.6149207817973461,4.158053540588294,-13.129658838961074,0.2394693860269364,4.158053540588302,0.6149207817973456
11,alternate4_095,8192,-1.4800503906172593,0.6149207817973461,4.158053540588294,-13.129658838961074,0.0,4.158053540588302,0.6149207817973456
11,all8_075_control,8192,-1.3850792182026563,0.6149207817973461,4.158053540588294,-11.841946459411705,0.0,4.158053540588302,0.6149207817973456
12,free,8192,0.669207027337643,0.669207027337643,4.49780237564328,4.49780237564328,0.3658192277081394,4.4978023756433005,0.6692070273376428
12,fixed1_095,8192,0.6642215956124953,0.669207027337643,4.49780237564328,0.17587428075593792,0.34331550330064053,4.4978023756433005,0.6692070273376428
12,rotate1_095,8192,0.17252783918859588,0.669207027337643,4.49780237564328,0.17587428075593792,0.19399289105693177,4.4978023756433005,0.6692070273376428
12,rotate1_0999,8192,0.04139152501440472,0.669207027337643,4.49780237564328,-5.467981909017043,0.08251128423557262,4.4978023756433005,0.6692070273376428
12,fixed4_095,8192,0.6283444741384394,0.669207027337643,4.49780237564328,-12.789910003906089,0.2550051134691259,4.4978023756433005,0.6692070273376428
12,alternate4_095,8192,-1.4472315069187744,0.669207027337643,4.49780237564328,-12.789910003906089,0.0,4.4978023756433005,0.6692070273376428
12,all8_075_control,8192,-1.330792972662361,0.669207027337643,4.49780237564328,-11.50219762435672,0.0,4.4978023756433005,0.6692070273376428
13,free,8192,0.6493160579295326,0.6493160579295326,4.397175354986822,4.397175354986822,0.36459427807699585,4.397175354986836,0.6493160579295604
13,fixed1_095,8192,0.6475997694585365,0.6493160579295326,4.397175354986822,0.0752472600994798,0.340526033688859,4.397175354986836,0.6493160579295604
13,rotate1_095,8192,0.1649419085044575,0.6493160579295326,4.397175354986822,0.0752472600994798,0.18275230749766616,4.397175354986836,0.6493160579295604
13,rotate1_0999,8192,0.028854240933739277,0.6493160579295326,4.397175354986822,-5.568608929673501,0.06160202226482315,4.397175354986836,0.6493160579295604
13,fixed4_095,8192,0.577389753793731,0.6493160579295326,4.397175354986822,-12.890537024562548,0.24167093401984618,4.397175354986836,0.6493160579295604
13,alternate4_095,8192,-1.4564057415004708,0.6493160579295326,4.397175354986822,-12.890537024562548,0.0,4.397175354986836,0.6493160579295604
13,all8_075_control,8192,-1.3506839420704717,0.6493160579295326,4.397175354986822,-11.602824645013179,0.0,4.397175354986836,0.6493160579295604
14,free,8192,0.7388939665247346,0.7388939665247346,5.107837336215729,5.107837336215729,0.4114956771841701,5.107837336215747,0.7388939665247347
14,fixed1_095,8192,0.7364270488377016,0.7388939665247346,5.107837336215729,0.7859092413283868,0.3892358485485168,5.107837336215747,0.7388939665247347
14,rotate1_095,8192,0.23250332700085208,0.7388939665247346,5.107837336215729,0.7859092413283868,0.2218681037174767,5.107837336215747,0.7388939665247347
14,rotate1_0999,8192,0.019070389983144587,0.7388939665247346,5.107837336215729,-4.857946948444594,0.02485988820239886,5.107837336215747,0.7388939665247347
14,fixed4_095,8192,0.7144189718154466,0.7388939665247346,5.107837336215729,-12.17987504333364,0.28624888949478866,5.107837336215747,0.7388939665247347
14,alternate4_095,8192,-1.4016877278181128,0.7388939665247346,5.107837336215729,-12.17987504333364,0.0,5.107837336215747,0.7388939665247347
14,all8_075_control,8192,-1.2611060334752655,0.7388939665247346,5.107837336215729,-10.892162663784271,0.0,5.107837336215747,0.7388939665247347
15,free,8192,0.7839353615962523,0.7839353615962523,5.419079023922158,5.419079023922158,0.4231048184203992,5.419079023922161,0.7839353615962523
15,fixed1_095,8192,0.7830814105427484,0.7839353615962523,5.419079023922158,1.0971509290348154,0.3962294037750459,5.419079023922161,0.7839353615962523
15,rotate1_095,8192,0.24890385678821111,0.7839353615962523,5.419079023922158,1.0971509290348154,0.22331083794542517,5.419079023922161,0.7839353615962523
15,rotate1_0999,8192,-0.300148448150468,0.7839353615962523,5.419079023922158,-4.5467052607381655,0.0,5.419079023922161,0.7839353615962523
15,fixed4_095,8192,0.7601623311246583,0.7839353615962523,5.419079023922158,-11.86863335562721,0.29501523688986003,5.419079023922161,0.7839353615962523
15,alternate4_095,8192,-1.366379066030626,0.7839353615962523,5.419079023922158,-11.86863335562721,0.0,5.419079023922161,0.7839353615962523
15,all8_075_control,8192,-1.2160646384037423,0.7839353615962523,5.419079023922158,-10.580920976077842,0.0,5.419079023922161,0.7839353615962523
16,free,8192,0.7018293259260817,0.7018293259260817,4.868272882242335,4.868272882242335,0.3784619462587036,4.868272882242339,0.7018293259260814
16,fixed1_095,8192,0.6966050654668087,0.7018293259260817,4.868272882242335,0.5463447873549931,0.35771629467001104,4.868272882242339,0.7018293259260814
16,rotate1_095,8192,0.17824237534104126,0.7018293259260817,4.868272882242335,0.5463447873549931,0.19552751748395267,4.868272882242339,0.7018293259260814
16,rotate1_0999,8192,-0.1696787933488566,0.7018293259260817,4.868272882242335,-5.097511402417988,0.0,4.868272882242339,0.7018293259260814
16,fixed4_095,8192,0.6740409438810288,0.7018293259260817,4.868272882242335,-12.419439497307033,0.2665876066219546,4.868272882242339,0.7018293259260814
16,alternate4_095,8192,-1.4192073395198204,0.7018293259260817,4.868272882242335,-12.419439497307033,0.0,4.868272882242339,0.7018293259260814
16,all8_075_control,8192,-1.2981706740739107,0.7018293259260817,4.868272882242335,-11.131727117757665,0.0,4.868272882242339,0.7018293259260814
17,free,8192,0.7217211544554948,0.7217211544554948,5.067673958375552,5.067673958375552,0.3980478148730229,5.067673958375558,0.7217211544465854
17,fixed1_095,8192,0.7138537986718344,0.7217211544554948,5.067673958375552,0.7457458634882101,0.3739517680105699,5.067673958375558,0.7217211544465854
17,rotate1_095,8192,0.22361142820674004,0.7217211544554948,5.067673958375552,0.7457458634882101,0.21883942613985202,5.067673958375558,0.7217211544465854
17,rotate1_0999,8192,0.04900383635680124,0.7217211544554948,5.067673958375552,-4.898110326284771,0.0797744565631788,5.067673958375558,0.7217211544465854
